Remote,CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub
R001,635,M,South Ferry / Whitehall,R W 1,40.703087,-74.012994,1
R003,86,Bk,Cypress Hills,J,40.689941,-73.87255,0
R004,85,Q,75 St,J Z,40.691324,-73.867139,0
R005,84,Q,85 St - Forest Pkwy,J,40.692435,-73.86001,0
R006,83,Q,Woodhaven Blvd,J Z,40.693879,-73.851576,0
R007,82,Q,104 St,J Z,40.695178,-73.84433,0
R008,81,Q,111 St,J,40.697418,-73.836345,0
R009,80,Q,121 St,J Z,40.700492,-73.828294,0
R010,611,M,Times Sq - 42 St / Port Authority Bus Terminal,N Q R W A C E 1 2 3 7 S,40.755905,-73.986504,1
R011,611,M,Times Sq - 42 St / Port Authority Bus Terminal,N Q R W A C E 1 2 3 7 S,40.755905,-73.986504,1
R012,164,M,34 St - Penn Station,A C E,40.752287,-73.993391,1
R013,164,M,34 St - Penn Station,A C E,40.752287,-73.993391,1
R014,628,M,Fulton St,J Z A C 2 3 4 5,40.709938,-74.007983,1
R015,276,M,5 Av/53 St,E M,40.760167,-73.975224,1
R016,612,M,Lexington Av / 51 St,E M 6,40.758353,-73.970991,1
R017,612,M,Lexington Av / 51 St,E M 6,40.758353,-73.970991,1
R018,616,Q,Jackson Hts-Roosevelt Av / 74 St,E F M R 7,40.746655,-73.891361,0
R019,254,Q,Jamaica - 179 St,F,40.712646,-73.783817,0
R020,225,M,47-50 Sts - Rockefeller Ctr,B D F M,40.758663,-73.981329,1
R021,609,M,42 St - Bryant Pk / 5 Av,B D F M 7,40.754198,-73.984573,1
R022,607,M,34 St - Herald Sq,N Q R W B D F M,40.749533,-73.987899,1
R023,607,M,34 St - Herald Sq,N Q R W B D F M,40.749533,-73.987899,1
R024,279,Q,Sutphin Blvd - Archer Av - JFK Airport,E J Z,40.700486,-73.807969,0
R025,278,Q,Jamaica Center - Parsons/Archer,E J Z,40.702147,-73.801109,0
R027,333,M,Wall St,2 3,40.706821,-74.0091,1
R028,628,M,Fulton St,J Z A C 2 3 4 5,40.709938,-74.007983,1
R029,624,M,Chambers St / WTC / Park Place / Cortlandt St,A C E 2 3 R W,40.712582,-74.009781,1
R030,327,M,Chambers St,1 2 3,40.715478,-74.009266,1
R031,318,M,34 St - Penn Station,1 2 3,40.750373,-73.991057,1
R032,611,M,Times Sq - 42 St / Port Authority Bus Terminal,N Q R W A C E 1 2 3 7 S,40.755905,-73.986504,1
R033,611,M,Times Sq - 42 St / Port Authority Bus Terminal,N Q R W A C E 1 2 3 7 S,40.755905,-73.986504,1
R034,306,M,125 St,1,40.815581,-73.958372,0
R035,605,M,168 St - Washington Hts,A C 1,40.840719,-73.939561,0
R036,299,M,Dyckman St,1,40.860531,-73.925536,0
R037,298,M,207 St,1,40.864621,-73.918822,0
R038,297,M,215 St,1,40.869444,-73.915279,0
R039,296,M,Marble Hill - 225 St,1,40.874561,-73.909831,0
R040,295,Bx,231 St,1,40.878856,-73.904834,0
R041,414,M,Bowling Green,4 5,40.704817,-74.014065,1
R042,414,M,Bowling Green,4 5,40.704817,-74.014065,1
R043,413,M,Wall St,4 5,40.707557,-74.011862,1
R044,622,M,Brooklyn Bridge-City Hall/Chambers St,J Z 4 5 6,40.713159,-74.003917,1
R045,610,M,Grand Central - 42 St,4 5 6 7 S,40.751849,-73.976945,1
R046,610,M,Grand Central - 42 St,4 5 6 7 S,40.751849,-73.976945,1
R047,610,M,Grand Central - 42 St,4 5 6 7 S,40.751849,-73.976945,1
R048,610,M,Grand Central - 42 St,4 5 6 7 S,40.751849,-73.976945,1
R049,612,M,Lexington Av / 51 St,E M 6,40.758353,-73.970991,1
R050,613,M,Lexington Av / 59 St,N W R 4 5 6,40.762796,-73.967686,1
R051,613,M,Lexington Av / 59 St,N W R 4 5 6,40.762796,-73.967686,1
R052,378,Bx,Woodlawn,4,40.886037,-73.878751,0
R053,434,Bx,3 Av - 149 St,2 5,40.816109,-73.917757,0
R054,609,M,42 St - Bryant Pk / 5 Av,B D F M 7,40.754198,-73.984573,1
R055,447,Q,Flushing - Main St,7,40.7596,-73.83003,0
R056,337,Bk,Nevins St,2 3 4 5,40.688246,-73.980492,0
R057,617,Bk,Atlantic Av - Barclays Ctr,D N R B Q 2 3 4 5,40.684063,-73.977417,0
R058,339,Bk,Bergen St,2 3,40.680829,-73.975098,0
R059,340,Bk,Grand Army Plaza,2 3,40.675235,-73.971046,0
R060,341,Bk,Eastern Pkwy - Brooklyn Museum,2 3,40.671987,-73.964375,0
R061,343,Bk,Nostrand Av,3,40.669847,-73.950466,0
R062,345,Bk,Crown Hts - Utica Av,3 4,40.668897,-73.932942,0
R063,346,Bk,Sutter Av - Rutland Rd,3,40.664717,-73.92261,0
R064,347,Bk,Saratoga Av,3,40.661453,-73.916327,0
R065,348,Bk,Rockaway Av,3,40.662549,-73.908946,0
R066,349,Bk,Junius St,3,40.663515,-73.902447,0
R067,350,Bk,Pennsylvania Av,3,40.664635,-73.894895,0
R068,351,Bk,Van Siclen Av,3,40.665449,-73.889395,0
